PLAY #,ODK,DN,DIST,HASH,YARD LN,PLAY TYPE,RESULT,GN/LS,OFF FORM,OFF PLAY,OFF STR,PLAY DIR,GAP,PASS ZONE,DEF FRONT,COVERAGE,BLITZ,QTR
77,D,3,14,L,14,Pass,,,TRIO,DOUBLE POST WHEEL,,,,,TANK,CUSE,,
78,K,4,14,L,14,FG Block,,,,,,,,,,,,
79,K,,,L,,KO Rec,,,,,,,,,,,,
80,O,1,10,L,-25,Run,,7,TREY,WASHINGTON,,,,,,,,
81,O,2,3,M,-32,Run,,2,TREY,WASHINGTON,,,,,,,,
82,O,3,1,R,-34,Pass,,7,TRIO,,,,,,,,,
83,O,1,10,L,-41,Run,,3,DUCK,HOUSTON,,,,,,,,
84,O,2,7,L,-44,Run,,2,DUCK,HOUSTON,,,,,,,,
85,O,3,5,M,-46,Pass,,0,DOUBLES,,,,,,,,,
86,K,4,5,M,-46,Punt,,,,,,,,,,,,
87,D,1,10,M,31,Pass,,3,EMPTY,DRIVE SERIES,,,,,WOLF,TEXAS,,
88,D,2,7,M,28,Run,,11,EMPTY,VIRGINIA DRIVE,,,,,ATF,CUSE,,
89,D,1,10,L,17,Pass,,2,RACKET,SHOVEL,,,,,FIELD,CUSE,,
90,D,2,8,L,15,Pass,,9,TRIO,DOUBLE POST MESH,,,,,TANK,CUSE,,
91,D,1,6,M,6,,,3,,,,,,,,,,
92,D,1,3,M,3,Pass,,0,TRIO,RUTGERS,,,,,FIELD,MAINE,,
93,D,2,3,M,3,Pass,,0,TRIO,RUTGERS,,,,,FIELD,,HAWK,
94,D,3,3,M,3,Pass,,0,HEAVY,POP PASS,,,,,MOLE,MAINE,,
95,D,3,3,M,3,,,,,,,,,,MOLE,MAINE,,
96,D,,,M,,,,,,,,,,,,,,
97,D,3,3,M,3,,,,,,,,,,,,,
98,K,0,0,M,0,FG Block,,,,,,,,,,,,
99,K,0,,L,-35,KO Rec,,,,,,,,,,,,
100,K,1,10,R,,KO,,,,,,,,,,,,
101,D,1,10,M,-16,Run,,3,DUCK,IZ,,,,,FIELD,CUSE,,
102,D,2,7,R,-19,Run,,-2,RACKET,COUNTER OT,,,,,OKIE,CHECK,,
103,D,3,9,R,-17,Run,,11,DOUBLES,VIRGINIA DROPOUTS,,,,,ANCHOR,HOUSTON,MICKEY,
104,D,1,10,R,-28,Run,,1,TRIO,IZR,,,,,OKIE,CUSE,,3
