PLAY #,ODK,DN,DIST,HASH,YARD LN,PLAY TYPE,RESULT,GN/LS,OFF FORM,OFF PLAY,OFF STR,PLAY DIR,GAP,PASS ZONE,DEF FRONT,COVERAGE,BLITZ,QTR
104,D,3,7,R,-30,Pass,,,DOUBLES,PENN DONUT,,,,,WOLF,CLEMSON SHARK,,
105,S,,,,,,,,,,,,,,,,,
106,O,1,10,R,29,Pass,,-8,DOUBLES,,,,,,,,,
107,S,,,,,,,,,,,,,,,,,
108,O,2,18,R,37,Run,,-1,DOUBLES,HOUSTON,,,,,,,,
109,S,,,,,,,,,,,,,,,,,
110,O,3,19,M,38,Pass,,15,BELL,,,,,,,,,
111,S,,,,,,,,,,,,,,,,,
112,K,4,4,L,-23,FG,,,,,,,,,,,,
113,S,,,,,,,,,,,,,,,,,
114,K,,,,,KO,,,,,,,,,,,,
115,S,,,,,,,,,,,,,,,,,
116,D,1,10,R,-49,Run,,3,PRO,POWER,,,,,FIELD,CUSE,,
117,S,,,,,,,,,,,,,,,,,
118,D,2,9,M,48,Run,,-5,TRAP,PIN PULL,,,,,OKIE,CHECK,,
119,S,,,,,,,,,,,,,,,,,
120,D,3,12,M,-47,Pass,,33,DOUBLES,VIRGINIA GEORGIA,,,,,WOLF,CUSE SHARK,,2
121,S,,,,,,,,,,,,,,,,,
122,D,1,10,M,20,Run,,1,DUO WING,COUNTER,,,,,OKIE,HOUSTON,MULE,
123,S,,,,,,,,,,,,,,,,,
124,D,2,9,R,19,Pass,,19,TREY,Y POP PASS,,,,,FIELD,TEXAS,,
125,S,,,,,,,,,,,,,,,,,
126,K,,,,,FG Block,,,,,,,,,,,,
127,S,,,,,,,,,,,,,,,,,
128,K,,,,,KO Rec,,,,,,,,,,,,
129,S,,,,,,,,,,,,,,,,,
130,O,1,10,L,-27,Pass,,0,TRASH,,,,,,,,,
131,S,,,,,,,,,,,,,,,,,
132,O,2,10,L,-27,Run,,1,DOUBLES,NEW ENGLAND,,,,,,,,
133,S,,,,,,,,,,,,,,,,,
134,S,,,,,,,,,,,,,,,,,
135,O,3,9,M,-28,Pass,,-1,EXTRA,,,,,,,,,
136,S,,,,,,,,,,,,,,,,,
137,K,4,10,M,-27,Punt,,,,,,,,,,,,
138,S,,,,,,,,,,,,,,,,,
139,D,1,10,L,-30,Run,,5,PRO,POWER,,,,,FIELD,CUSE,,
140,S,,,,,,,,,,,,,,,,,
141,D,2,5,L,-35,Run,,20,TRAP,TACKLE WRAP,,,,,OKIE,HOUSTON,BEAR,
142,S,,,,,,,,,,,,,,,,,
143,D,1,10,R,45,Run,,7,DUO,QB COUNTER,,,,,EAGLE,CUSE,,
144,S,,,,,,,,,,,,,,,,,
145,D,2,3,R,38,Run,,4,TRAP,TACKLE WRAP,,,,,OKIE,HOUSTON,OTTER,
146,S,,,,,,,,,,,,,,,,,
147,D,1,10,R,34,Pass,,34,PRO,CRACK AND GO,,,,,EAGLE,CUSE,,
148,S,,,,,,,,,,,,,,,,,
149,S,,,,,,,,,,,,,,,,,
150,D,1,15,R,39,Run,,16,DEUCE,TACKLE WRAP,,,,,OKIE,TEXAS,,
151,S,,,,,,,,,,,,,,,,,
152,D,1,10,R,23,Run,,9,PRO,POWER,,,,,FIELD,CUSE,,
153,S,,,,,,,,,,,,,,,,,
154,D,2,1,R,14,Run,,5,PRO FIB,POWER,,,,,OKIE,HOUSTON,MULE,
155,S,,,,,,,,,,,,,,,,,
156,D,1,9,R,9,Run,,1,PRO,SPLIT ZONE READ,,,,,EAGLE,CUSE,,
157,S,,,,,,,,,,,,,,,,,
158,D,2,8,R,8,Pass,,8,TREY,SEAM X SLANT,,,,,FIELD,CUSE,,
159,S,,,,,,,,,,,,,,,,,
160,K,,,,,FG Block,,,,,,,,,,,,
161,S,,,,,,,,,,,,,,,,,
162,K,,,,,KO Rec,,,,,,,,,,,,
163,S,,,,,,,,,,,,,,,,,
164,O,1,10,L,-35,Pass,,-7,TRIO,,,,,,,,,
165,S,,,,,,,,,,,,,,,,,
166,O,2,17,L,-28,Run,,3,TRIO,NEW ENGLAND,,,,,,,,
167,S,,,,,,,,,,,,,,,,,
168,O,1,10,L,-46,Pass,,-2,,FLOUNDER,,,,,,,,
169,S,,,,,,,,,,,,,,,,,
170,O,2,12,R,-44,Run,,2,TRASH,DENVER,,,,,,,,
171,S,,,,,,,,,,,,,,,,,
172,S,,,,,,,,,,,,,,,,,
173,O,3,10,R,-46,Pass,,28,TRIPS,,,,,,,,,
174,S,,,,,,,,,,,,,,,,,
175,O,1,10,R,26,Pass,,0,,SEAGULL,,,,,,,,
176,S,,,,,,,,,,,,,,,,,
177,O,2,10,R,26,Pass,,-7,TRASH,,,,,,,,,
178,S,,,,,,,,,,,,,,,,,
179,S,,,,,,,,,,,,,,,,,
180,O,3,17,R,33,Pass,,8,DOUBLES,NASA,,,,,,,,
181,S,,,,,,,,,,,,,,,,,
182,O,1,10,R,13,Pass,,4,TRASH,,,,,,,,,
183,S,,,,,,,,,,,,,,,,,
184,O,2,6,R,9,Pass,,2,,FLAMINGO,,,,,,,,
185,S,,,,,,,,,,,,,,,,,
186,S,,,,,,,,,,,,,,,,,
187,O,3,4,L,7,Run,,-6,EXTRA,ARIZONA Q,,,,,,,,
188,S,,,,,,,,,,,,,,,,,
189,K,4,4,L,13,FG,,,,,,,,,,,,
190,S,,,,,,,,,,,,,,,,,
191,K,,,L,,KO,,,,,,,,,,,,
192,S,,,,,,,,,,,,,,,,,
193,D,1,10,R,-35,Pass,,0,DOUBLES,VIRGINIA,,,,,TANK,CUSE,,
194,S,,,,,,,,,,,,,,,,,
195,D,2,10,R,-35,Pass,,0,TRIO,FLOOD X DROPOUT,,,,,TANK,CUSE,,
196,S,,,,,,,,,,,,,,,,,
197,D,3,10,R,-35,Pass,,17,TRIO,VIRGINIA DROPOUT,,,,,WOLF,CUSE SHARK,,
198,K,,,,,KO,,,,,,,,,,,,
199,S,,,,,,,,,,,,,,,,,
200,D,1,10,R,-38,Run,,8,DUCK,COUNTER,,,,,FIELD,BAMA OUT,,
201,S,,,,,,,,,,,,,,,,,
202,D,2,2,R,-46,Pass,,2,DUO,Y FOLD,,,,,,HOUSTON,MULE,
203,S,,,,,,,,,,,,,,,,,
204,D,1,10,R,-48,Run,,4,TREY,PIN PULL,,,,,OKIE,TEXAS,,
