PLAY #,ODK,DN,DIST,HASH,YARD LN,PLAY TYPE,RESULT,GN/LS,OFF FORM,OFF PLAY,OFF STR,PLAY DIR,GAP,PASS ZONE,DEF FRONT,COVERAGE,BLITZ,QTR
75,D,1,10,,-34,Run,,34,DUCK,HOUSTON,,,,,,,,
76,D,1,10,,42,Run,,4,TRUCK,HOUSTON,,,,,,,,
77,D,2,6,,38,Pass,,0,TRUCK,,,,,,,,,
78,D,3,6,,38,Pass,,3,,PIRANHA,,,,,,,,
79,D,4,3,R,35,Pass,,0,EMPTY,,,,,,,,,
80,D,4,3,R,35,Pass,,0,EMPTY,,,,,,,,,
81,O,1,10,,-35,Pass,,6,TRIO,BUBBLE,,,,,OKIE,CLEMSON,,
82,O,2,4,,-41,Run,,3,TRIO,IZR,,,,,OKIE,FLORIDA IN,MIKE,
83,O,3,1,,-44,Run,,0,TRIO,IZR,,,,,FIELD,CLEMSON,,
84,O,4,1,,-44,Run,,,DUCK,SPLIT ZONE,,,,,FIELD,CLEMSON,,
85,D,1,10,,42,Run,,-1,DEUCE,HOUSTON,,,,,,,,
86,D,2,11,,43,Pass,,-5,DUCK,,,,,,,,,
87,D,2,16,,48,Pass,,0,DUCK,,,,,,,,,
88,D,3,16,,48,Pass,,4,DOUBLES,,,,,,,,,
89,K,,,,-35,KO Rec,,,,,,,,,,,,
90,D,1,10,,-35,Run,,4,TRUCK,HOUSTON,,,,,,,,3
91,D,2,6,L,-39,Run,,0,,LADDER,,,,,,,,
92,D,3,6,L,-39,Pass,,0,EMPTY,,,,,,,,,
93,K,4,6,,-39,Punt,,,,,,,,,,,,
94,O,1,10,,-35,Run,,-3,DEUCE,TACKLE WRAP,,,,,FIELD,CLEMSON,,
95,O,2,13,,-32,Run,,-3,RACKET,LOAD OPTION,,,,,OKIE,FLORIDA IIN,MIKE,
96,O,3,16,,-29,Pass,,,DOUBLES,SWITCH,,,,,WOLF,CUSE,,
97,K,4,5,,-40,Punt Rec,,,,,,,,,,,,
98,D,1,10,,-35,Pass,,35,TRUCK,,,,,,,,,
99,D,1,10,,30,Pass,,0,DOUBLES,,,,,,,,,
100,O,1,10,,-25,Run,,10,TRUCK,ISO,,,,,FIELD,CUSE,,
101,O,1,10,,-35,Run,,1,DUCK,ISO,,,,,,,,
102,O,2,9,,-36,Pass,,0,UNB TRAP,BUBBLE,,,,,OKIE,FL IN,BTF,
103,O,3,9,,-36,Pass,,,DUCK,MESH,,,,,WOLF,CUSE,,
104,K,4,15,,-30,Punt Rec,,,,,,,,,,,,
105,D,1,10,,-15,Run,,5,TRUCK,HOUSTON,,,,,,,,
106,D,2,5,,-20,Run,,2,DEUCE,HOUSTON,,,,,,,,
