PLAY #,ODK,DN,DIST,HASH,YARD LN,PLAY TYPE,RESULT,GN/LS,OFF FORM,OFF PLAY,OFF STR,PLAY DIR,GAP,PASS ZONE,DEF FRONT,COVERAGE,BLITZ,QTR
149,D,1,10,R,-29,Run,,8,DEUCE,QB POWER,,,,,ANCHOR,CLEMSON,,
150,D,2,2,L,-37,Run,,4,OT DEUCE,QB POWER,,,,,ANCHOR,SYRACUSE,,
151,D,1,10,L,-41,,,4,,,,,,,ANCHOR,SYRACUSE,,4
152,D,1,15,L,-36,Run,,-5,TREY,QB POWER,,,,,FIELD,CLEMSON,,
153,D,2,4,L,-47,Run,,2,PRO,COUNTER,,,,,ANCHOR,SYRACUSE,,
154,D,3,2,L,-49,,,2,,,,,,,ANCHOR,SYRACUSE,,
155,D,1,10,M,46,Run,,13,UNB DOUBLE TIGHT,COUNTER,,,,,ANCHOR,SYRACUSE,,
156,D,2,8,M,44,,,13,,,,,,,ANCHOR,SYRACUSE,,
157,D,3,6,M,42,Run,,7,DEUCE,QB POWER,,,,,TANK,CLEMSON,,
158,D,1,10,L,35,,,0,,,,,,,ANCHOR,SYRACUSE,,
159,D,1,10,L,35,,,0,,,,,,,ANCHOR,SYRACUSE,,
160,D,1,20,L,45,,,10,,,,,,,ANCHOR,CUSE,,
161,D,1,10,M,25,Run,,4,DEUCE,QB POWER,,,,,FIELD,SYRACUSE,,
162,D,2,6,L,21,Run,,0,OT TWINS,POWER,,,,,ANCHOR,SYRACUSE,,
163,D,3,6,L,21,Run,,1,DEUCE,QB POWER,,,,,FIELD,SYRACUSE,,
164,D,4,5,R,20,Pass,,1,DOUBLES,DRIVE SERIES,,,,,WOLF,CLEMSON SHARK,,
165,O,1,10,L,-20,Pass,,6,TREY,,,,,,FIELD,CLEMSON SHARK,,
166,O,2,4,R,-26,Run,,7,DUCK,HOUSTON,,,,,,,,
167,O,1,10,R,-33,Pass,,0,DOUBLES,,,,,,,,,
168,O,2,10,R,-33,Run,,-4,TRASH,DENVER,,,,,,,,
169,O,3,14,R,-29,Pass,,-4,DOUBLES,,,,,,,,,
170,K,4,14,R,-29,Punt,,3,,,,,,,ANCHOR,SYRACUSE,,
171,D,1,10,L,-37,Run,,3,OT TWINS FIB,POWER,,,,,ANCHOR,SYRACUSE,,
172,D,2,7,L,-40,Run,,1,UNB DOUBLE TIGHT FIB,QB COUNTER,,,,,EAGLE,SYRACUSE,,
173,D,3,5,L,-41,Run,,1,TREY FIB,QB POWER,,,,,ANCHOR,SYRACUSE,,
174,K,3,5,L,-41,Punt Rec,,1,,,,,,,ANCHOR,SYRACUSE,,
175,K,3,9,L,-33,Punt Rec,,5,,,,,,,,,,
176,O,1,10,L,-10,Run,,5,TRASH,DENVER,,,,,,,,
177,O,1,5,L,-15,Pass,,0,TRASH,,,,,,,,,
178,O,2,5,L,-15,Run,,13,TRIPS,HOUSTON,,,,,,,,
179,O,1,10,L,-28,Pass,,8,DOUBLES,,,,,,,,,
180,O,2,2,R,-36,Pass,,62,TRIO,,,,,,,,,
181,O,1,2,R,2,,,0,,,,,,,,,,
182,O,1,2,R,2,Pass,,0,ROLL,,,,,,,,,
183,O,2,2,R,2,Pass,,0,DUO,,,,,,,,,
184,O,2,2,R,2,Run,,0,ROLL,MINNESOTA,,,,,,,,
185,O,4,2,L,2,Pass,,0,TRIPS,,,,,,,,,
186,D,1,10,R,-2,,,,,,,,,,,,,
187,D,2,10,R,-2,,,,,,,,,,EAGLE,CUSE,,
