PLAY #,ODK,DN,DIST,HASH,YARD LN,PLAY TYPE,RESULT,GN/LS,OFF FORM,OFF PLAY,OFF STR,PLAY DIR,GAP,PASS ZONE,DEF FRONT,COVERAGE,BLITZ,QTR
75,O,2,1,L,18,Pass,,0,,SHARK,,,,,,,,
76,O,3,1,L,18,Run,,16,TRUCK,HOUSTON,,,,,,,,
77,O,1,2,M,2,Run,,1,,XEROX,,,,,,,,
78,O,2,1,M,1,Run,,0,ROYAL,MINNESOTA,,R,,,,,,
79,O,3,1,R,1,Run,,0,TITAN,MINNESOTA,,R,,,,,,
80,O,4,1,R,1,Run,,0,ROYAL,KC,,R,,,,,,
81,D,1,10,M,-1,Pass,,0,PRO,,,,,,FIELD,CUSE,,
82,K,0,10,M,-35,KO Rec,,,,,,,,,,,,3
83,O,1,10,R,-41,Run,,-2,TRIPS,NY,,,,,,,,
84,O,2,12,R,-39,Pass,,23,DUCK,,,,,,,,,
85,O,1,10,R,39,Run,,1,,HAMMER,,L,,,,,,
86,O,2,9,R,38,Pass,,10,TRUCK,,,,,,,,,
87,O,1,10,R,28,Run,,4,TRUCK,HOUSTON,,L,,,,,,
88,O,2,7,M,24,,,6,,SPARROW,,,,,,,,
89,O,1,10,L,18,Run,,0,EMPTY,NY Q,,R,,,,,,
90,O,2,10,L,18,Run,,-1,DEUCE,HOUSTON,,R,,,,,,
91,O,3,11,R,19,Pass,,7,DOUBLES,,,,,,,,,
92,K,4,4,R,12,FG,,,,,,,,,,,,
93,K,0,10,L,,KO,,,,,,,,,,,,
94,D,1,10,R,-36,Run,,12,TRIO,IZ,,,,,OKIE,TEXAS,,
95,D,1,10,R,-48,Run,,5,TRIO,IZ,,,,,OKIE,TEXAS,,
96,D,2,5,R,47,Run,,5,DUCK,SPLIT ZONE,,,,,OKIE,HOUSTON,OTTER,
97,D,3,1,R,42,Run,,2,TWINS,POWER,,,,,EAGLE,CUSE,,
98,D,1,10,R,40,Run,,16,TRIO,IZ,,,,,ATF,TEXAS,,
99,D,1,10,M,24,Pass,,0,TRIO,BUBBLE,,,,,FIELD,CLEMSON,,
100,D,2,10,M,24,Pass,,5,TRIO,BUBBLE GAS,,,,,FIELD,FLORIDA,,
101,D,3,5,R,19,Run,,6,DOUBLES,IZ,,,,,OKIE,TEXAS,,
102,D,1,10,M,14,Pass,,3,DOUBLES,POST SIT,,,,,OKIE,TEXAS,,
103,D,2,7,L,11,Run,,3,DUCK,SPLIT ZONE,,,,,FIELD,FL,,
104,D,3,4,L,8,,,,,,,,,,ANCHOR,CARDINAL,,
105,K,4,4,L,8,FG Block,,,,,,,,,,,,
106,K,0,10,M,,KO Rec,,,,,,,,,,,,
107,O,1,10,L,-29,Pass,,7,DUCK,,,,,,,,,
108,O,2,2,R,-36,Run,,-1,TRUCK,HOUSTON,,L,,,,,,
109,O,3,4,M,-35,Pass,,15,TRIO,,,,,,,,,
110,O,1,10,R,50,Pass,,0,DOUBLES,,,,,,,,,
111,O,2,10,R,50,Run,,9,TRASH,DENVER,,R,,,,,,
112,O,3,1,R,41,Run,,4,,XEROX,,,,,,,,
113,O,1,10,M,37,Pass,,9,TRUCK,,,,,,,,,
114,O,2,1,R,28,Run,,1,,HAMMER,,,,,,,,
115,O,1,10,R,27,,,20,DASH,,,,,,,,,4
116,O,1,7,L,7,Run,,-2,DEUCE,NY,,,,,,,,
117,O,2,9,L,9,Pass,,0,DOUBLES,,,,,,,,,
118,O,3,9,L,9,Pass,,-6,TRIO,,,,,,,,,
119,K,4,15,L,15,FG,,,,,,,,,,,,
120,K,0,10,L,,KO,,,,,,,,,,,,
121,D,1,10,R,-30,Run,,8,TRIO,IZ,,,,,OKIE,TEXAS,,
122,D,2,2,M,-38,Run,,6,TRIO,IZ,,,,,FIELD,CLEMSON,,
123,D,1,10,L,-44,Pass,,0,TRIO,DARTMOTH,,,,,FIELD,CLEMSON,,
124,D,2,10,L,-44,Run,,,TRIO,IZ,,,,,OKIE,TEXAS,,
125,D,1,10,R,,,,,,,,,,,FIELD,CLEMSON,,
126,D,2,10,L,43,Pass,,0,TRIO,VIRGINIA,,,,,FIELD,CLEMSON,,
127,D,2,10,L,43,Pass,,-10,TRIO,DARTMOTH,,,,,FIELD,TEXAS,,
128,D,1,10,R,-47,Pass,,22,TRIO,VIRGINIA,,,,,FIELD,TEXAS,,
129,D,1,10,R,31,Run,,0,RACKET,SPLIT ZONE,,,,,OKIE,TEXAS,,
130,D,2,10,R,31,Pass,,16,TRIO,CURL SLIDE,,,,,FIELD,TEXAS,,
131,D,1,10,R,15,Run,,-6,PRO,OZ,,,,,OKIE,FL IN,,
132,D,1,16,L,21,Pass,,15,PRO,VIRGINIA,,,,,OKIE,HOUSTON,FLYER,
133,D,1,6,L,6,Pass,,0,TWINS,PICK,,,,,ANCHOR,CARDINAL,,
134,D,2,6,L,6,Pass,,0,TRUCK FIB,SMASH X SLANT,,,,,ANCHOR,CARDINAL,,
135,D,3,6,L,6,,,,,,,,,,ANCHOR,CARDINAL,,
136,K,1,10,M,0,XP Block,NG,,,,,,,,,,,
137,K,0,10,M,-35,KO Rec,,,,,,,,,,,,
138,O,1,10,M,-36,Run,,5,DAB,CINCY,,R,,,,,,
139,O,2,5,L,-41,Run,,3,TRIPS,NY,,,,,,,,
140,O,3,2,L,-44,,,0,,,,,,,,,,
141,O,3,2,L,-44,Run,,4,DEUCE,HOUSTON,,R,,,,,,
142,O,1,10,M,-48,Pass,,-7,DUCK,,,,,,,,,
143,O,2,18,M,-41,Pass,,0,TRIO,AKRON,,,,,,,,
144,O,3,18,M,-41,Pass,,14,TENT,AKRON,,,,,,,,
145,O,4,3,L,45,Pass,,0,,SEAGULL,,R,,,,,,
146,D,1,10,L,-45,,,0,,,,,,,OKIE,FLORIDA IN,,
147,D,2,10,L,-45,Run,,-5,TRIO,IZ,,,,,FIELD,FLORIDA,,
148,D,2,15,M,-40,,,-5,DOUBLES,,,,,,,,,
149,D,3,20,M,-35,Pass,,,DOUBLES,BUBBLE,,,,,FIELD,CLEMSON,,
150,K,4,20,L,-35,Punt Rec,,,,,,,,,,,,
151,O,1,10,L,-25,Run,,4,TRUCK,HOUSTON,,R,,,,,,
152,O,2,6,L,-29,Run,,5,TREY,MINNESOTA,,R,,,,,,
153,O,3,1,R,-34,Run,,1,,XEROX,,,,,,,,
154,O,1,10,R,-35,Pass,,4,,FLAMINGO,,,,,,,,
155,O,2,6,L,-39,,,-5,,BROOM,,,,,,,,
156,O,2,11,L,-34,Pass,,16,DOUBLES,NASA,,,,,,,,
157,O,1,10,M,50,Pass,,0,,VULTURE,,,,,,,,
158,O,2,10,R,50,Pass,,6,TRIO,,,,,,,,,
159,O,3,4,L,44,Pass,,0,,GOOSE,,,,,,,,
160,O,4,4,L,44,Pass,,5,TREY,,,,,,,,,
161,O,1,10,L,39,,,0,TRIPS,,,,,,,,,
162,O,2,10,L,39,Pass,,-5,TRIPS,,,,,,,,,
163,O,2,15,L,44,Pass,,0,TRIPS,,,,,,,,,
164,O,3,15,L,44,Pass,,6,DOUBLES,,,,,,,,,
165,O,1,10,L,28,Pass,,0,,VULTURE,,,,,,,,
166,O,2,10,L,28,Pass,,0,TRIPS,,,,,,,,,
167,O,3,10,L,28,Pass,,0,DOUBLES,,,,,,,,,
168,O,4,10,L,28,Pass,,0,TRIO,,,,,,,,,
169,D,1,10,R,-3,,,,,,,,,,,,,
