0,0.31034483,0.79166667,0,0,1,1,0,0,0,1
0.33333333,0.13793103,0.73958333,0,0,1,0,0,1,0,1
0,0.31034483,0.65625,0,0,1,0,1,0,0,1
0,0.82758621,0.8125,0,0,1,0,1,0,0,1
0.33333333,0.82758621,0.8125,0,0,1,0,0,1,0,1
0.33333333,1,0.86458333,0,0,1,0,0,1,0,1
0.66666667,1,0.86458333,0,0,1,0,1,0,0,1
0,0.31034483,0.593751,0,0,1,0,0,0,0.93877551,1
0.33333333,0.20689655,0.5625,1,0,0,0,0,1,0,0.93877551
0.66666667,0.10344828,0.531251,0,0,0,0,1,0,0.93877551,0.93877551
0,0.31034483,0.30208333,1,0,0,0,1,0,0,0.93877551
0.33333333,0.27586207,0.29166667,1,0,0,0,0,1,0,0.93877551
0.66666667,0.13793103,0.25,1,0,0,0,0,1,0,0.93877551
0,0.31034483,0.61458333,0,0,1,1,0,0,0,0.93877551
0.33333333,0.13793103,0.5625,1,0,0,0,1,0,0,0.93877551
0,0.31034483,0.42708333,1,0,0,0,1,0,0,0.93877551
0.33333333,0.13793103,0.3750,1,0,0,0,1,0,0.93877551,0.93877551
0,0.31034483,0.25,1,0,0,0,1,0,0,0.93877551
0.33333333,0.34482759,0.26041667,1,0,0,0,0,1,0,0.93877551
0.66666667,0.13793103,0.19791667,0,0,1,0,1,0,0,0.93877551
0.66666667,0.31034483,0.25,0,1,0,0,1,0,0,0.93877551
1,0.13793103,0.19791667,0,0,1,0,1,0,0,0.93877551
0,0.31034483,0.80208333,1,0,0,1,0,0,0,0.87755102
0,0.31034483,0.45833333,1,0,0,0,0,1,0,0.87755102
0.33333333,0.24137931,0.4375,1,0,0,0,0,1,0,0.87755102
0,0.31034483,0.13541667,0,0,1,0,1,0,0,0.87755102
0,0.13793103,0.08333333,0,0,1,0,1,0,0,0.87755102
0.33333333,0.13793103,0.08333333,0,0,1,0,0,1,0,0.87755102
0.66666667,0.13793103,0.08333333,0,0,1,0,1,0,0,0.87755102
1,0.13793103,0.08333333,0,0,1,0,1,0,0,0.87755102
0,0.31034483,0.67708333,0,0,1,1,0,0,0,0.93877551
0.33333333,0.31034483,0.67708333,0,0,1,0,0,1,0,0.93877551
0,0.31034483,0.52083333,0,0,1,0,0,1,0,0.93877551
0.33333333,0.17241379,0.47916667,0,0,1,0,0,1,0,0.93877551
0.66666667,0.13793103,0.468750,0,1,0,0,1,0,0,0.93877551
0.66666667,0.13793103,0.468750,0,1,0,1,0,0,0,0.93877551
0,0.31034483,0.55208333,1,0,0,1,0,0,0,0.87755102
0,0.17241379,0.05208333,1,0,0,0,1,0,0,0.87755102
0,0.68965517,0.20833333,1,0,0,0,1,0,0,0.87755102
0.33333333,0.72413793,0.218751,0,0,0,1,0,0,0.87755102,1
0,0.06896552,0.02083333,1,0,0,1,0,0,0,1
0,0.31034483,0.44791667,0,0,1,1,0,0,0,1
0,0.31034483,0.77083333,0,0,1,1,0,0,0,1
0.33333333,0.31034483,0.77083333,0,0,1,0,1,0,0,1
0.66666667,0.24137931,0.75,0,0,1,0,0,1,0,1
0,0.31034483,0.77083333,0,0,1,1,0,0,0,0.93877551
0.66666667,0.13793103,0.71875,0,0,1,0,0,1,0,0.93877551
0,0.31034483,0.5625,1,0,0,1,0,0,0,0.87755102
0,0.48275862,0.61458333,1,0,0,0,1,0,0,0.87755102
0.33333333,0.51724138,0.6250,0,1,0,1,0,0,0,0.87755102
0,0.31034483,0.42708333,0,0,1,0,1,0,0,0.87755102
0.33333333,0.31034483,0.42708333,0,0,1,0,1,0,0,0.87755102
0,0.31034483,0.75,0,0,1,1,0,0,0,0.81632653
